key,district_lbl,priority,gi_z,gi_p,hotspot,lisa_quadrant,lisa_p
07053,Horta-Guinardo,0.0006892226297229677,-0.19462924878458812,0.8456832036909632,ns,ns,0.846
08036,Nou Barris,0.00037989769227091743,-0.19637015545826517,0.8443204539682663,ns,ns,0.895
09054,Sant Andreu,0.0006010066861993841,-0.19710832352259036,0.8437427699780309,ns,ns,0.854
08116,Nou Barris,0.0001943596433116379,-0.19739278595189355,0.8435201745411152,ns,ns,0.901
09046,Sant Andreu,0.0,-0.19813124201732196,0.8429423817410531,ns,ns,0.906
10123,Sant Marti,8.423199768703488e-05,-0.19910968579489116,0.842176944756706,ns,ns,0.902
04020,Les Corts,0.0006291788746149801,-0.1996328336998418,0.84176774705728,ns,ns,0.849
10071,Sant Marti,0.0010950159699314533,-0.19972228268156428,0.8416977858078258,ns,ns,0.804
03044,Sants-Montjuic,0.0008963878132235131,-0.20027237837056205,0.8412675637830018,ns,ns,0.83
03105,Sants-Montjuic,6.0755174007371436e-05,-0.20096385036418957,0.8407268406041422,ns,ns,0.892
03009,Sants-Montjuic,0.00042855874498876534,-0.20112717434357982,0.8405991340828489,ns,ns,0.851
04028,Les Corts,0.0031706517507734547,-0.20306793562233014,0.8390819332287309,ns,ns,0.557
08046,Nou Barris,0.0012506744251166158,-0.2045566569823139,0.8379185219621184,ns,ns,0.778
10129,Sant Marti,0.00026109073607383275,-0.20709370642407676,0.835936677105795,ns,ns,0.836
09024,Sant Andreu,6.559282252318086e-05,-0.20896046058182222,0.8344791050836098,ns,ns,0.876
02041,Eixample,0.0016356943334630964,-0.21028441377096088,0.8334456993391004,ns,ns,0.77
08002,Nou Barris,0.0002539765470799954,-0.21190264975672868,0.8321829833325631,ns,ns,0.839
05049,Sarria-Sant Gervasi,0.0005628746331924155,-0.21437136255202396,0.8302574719368883,ns,ns,0.821
04022,Les Corts,0.00318004248024532,-0.21953390941658743,0.8262341681520717,ns,ns,0.623
05055,Sarria-Sant Gervasi,0.002867018164516474,-0.2201017522954669,0.825791910138026,ns,ns,0.594
01017,Ciutat Vella,0.0,-0.22203331117932332,0.8242879518946356,ns,ns,0.913
10040,Sant Marti,0.0010022469454518137,-0.2258992336032591,0.8212797939146994,ns,ns,0.798
10008,Sant Marti,0.00044179113651730286,-0.23374437178498295,0.8151834380837448,ns,ns,0.798
02116,Eixample,3.471724228992653e-05,-0.23405157969373822,0.8149449357112852,ns,ns,0.835
04039,Les Corts,0.00027773793831941226,-0.23972687683599708,0.8105419976941537,ns,ns,0.824
06059,Gracia,0.000642838117483148,-0.2411378051288096,0.8094483128724059,ns,ns,0.791
03035,Sants-Montjuic,0.0004302661503472863,-0.24360297490654995,0.8075383240564631,ns,ns,0.803
09090,Sant Andreu,0.0009971247293762506,-0.24616359350028744,0.8055555967060846,ns,ns,0.724
07108,Horta-Guinardo,7.228016017738803e-05,-0.246276879713579,0.8054679061752061,ns,ns,0.807
02135,Eixample,0.0018809915699706098,-0.24712201048068833,0.8048138000032903,ns,ns,0.664
10036,Sant Marti,0.001497963634542404,-0.24800706915294035,0.8041289372519569,ns,ns,0.683
04017,Les Corts,0.001567398119122257,-0.2509801654055824,0.8018294441952087,ns,ns,0.723
07096,Horta-Guinardo,0.0005349870123365728,-0.2542172133906477,0.7993277529820302,ns,ns,0.777
10115,Sant Marti,0.0022351358980838357,-0.2594417239871349,0.7952944403765354,ns,ns,0.664
09156,Sant Andreu,0.0,-0.25966620069783286,0.7951212664441445,ns,ns,0.881
02029,Eixample,0.0005368367014749706,-0.260623927425042,0.7943825357993859,ns,ns,0.774
10034,Sant Marti,0.0008595363142354352,-0.26436352514711153,0.791499814708404,ns,ns,0.728
07092,Horta-Guinardo,0.0013616557734204794,-0.26529918361159,0.7907789933684273,ns,ns,0.684
09093,Sant Andreu,0.0007626410601393698,-0.26785689663191503,0.7888094731361224,ns,ns,0.726
06008,Gracia,0.0,-0.26863322048442284,0.7882119454094754,ns,ns,0.813
09052,Sant Andreu,0.0,-0.27402734685467894,0.7840636059861548,ns,ns,0.816
04036,Les Corts,0.0,-0.2774614846087336,0.7814257760682191,ns,ns,0.798
03010,Sants-Montjuic,0.00188668292116568,-0.27870763295494033,0.7804692042916122,ns,ns,0.605
08095,Nou Barris,0.00011610356437942644,-0.27908671680630587,0.7801782767468564,ns,ns,0.809
08107,Nou Barris,0.001977175405167292,-0.2791321728733217,0.7801433935968218,ns,ns,0.618
02137,Eixample,0.001379868097244703,-0.2831413979841287,0.7770684484338182,ns,ns,0.675
08059,Nou Barris,8.394743012728138e-05,-0.2856059823106202,0.7751799210186694,ns,ns,0.75
02114,Eixample,0.0007401602229188436,-0.28612331598037516,0.7747836741587468,ns,ns,0.743
02138,Eixample,0.0015699592271600385,-0.28681274657861483,0.7742557024503598,ns,ns,0.647
03041,Sants-Montjuic,0.0002744654113822471,-0.28961214296660714,0.7721129762160694,ns,ns,0.783
03213,Sants-Montjuic,0.0,-0.29261777862849386,0.7698143229314973,ns,ns,0.772
08050,Nou Barris,0.0012170954530657033,-0.29686432332157087,0.7665700948044276,ns,ns,0.639
06043,Gracia,0.0,-0.30194160542636334,0.7626965784947397,ns,ns,0.758
07011,Horta-Guinardo,0.0001132578887818915,-0.30233550432844264,0.7623963154005478,ns,ns,0.763
07123,Horta-Guinardo,0.0006240566585394172,-0.3028787913726839,0.7619822346932152,ns,ns,0.7
09095,Sant Andreu,0.0012984817751552035,-0.30689673860666516,0.7589219715814686,ns,ns,0.639
08104,Nou Barris,0.000531003066500024,-0.306916400196153,0.758907005599057,ns,ns,0.693
07104,Horta-Guinardo,0.0007572342765040535,-0.30800756721079064,0.7580765742820703,ns,ns,0.675
08103,Nou Barris,0.0026945702233058554,-0.30803846345077923,0.75805306479484,ns,ns,0.488
09027,Sant Andreu,0.0,-0.3085225045439339,0.7576847787188994,ns,ns,0.753
10001,Sant Marti,0.0006381427527472152,-0.3112619711562558,0.7556014749176827,ns,ns,0.707
08048,Nou Barris,0.00011268875366238448,-0.3143206989151267,0.7532774788418037,ns,ns,0.751
08063,Nou Barris,0.0004524624200080589,-0.31537269206801094,0.7524786982779266,ns,ns,0.725
08025,Nou Barris,0.0,-0.31560008872207973,0.7523060703312316,ns,ns,0.743
10113,Sant Marti,0.0008897004755693058,-0.31758800556881717,0.7507974736272449,ns,ns,0.67
10141,Sant Marti,0.001355679854665656,-0.32012979427055116,0.7488699406156052,ns,ns,0.616
03043,Sants-Montjuic,0.0007435750336358856,-0.3202527769929368,0.7487767179118836,ns,ns,0.668
09088,Sant Andreu,0.0023028629773051684,-0.3209683123164792,0.74823440452748,ns,ns,0.549
03110,Sants-Montjuic,0.0010674129166353642,-0.32157759311361916,0.7477727209686051,ns,ns,0.649
10116,Sant Marti,0.00016775257647468598,-0.32167905160025284,0.7476958494088299,ns,ns,0.705
05062,Sarria-Sant Gervasi,0.001272016992098128,-0.3244164542616256,0.7456227641115298,ns,ns,0.65
02132,Eixample,0.00023903675019293683,-0.3270602485370904,0.743622316900401,ns,ns,0.722
02115,Eixample,0.00010671283490756107,-0.3285728035605845,0.7424786073006875,ns,ns,0.711
06063,Gracia,0.0,-0.33093257728232767,0.7406954139825461,ns,ns,0.753
05020,Sarria-Sant Gervasi,0.0,-0.33145532539041717,0.740300580686825,ns,ns,0.728
07054,Horta-Guinardo,0.004901249365414341,-0.33869780309102526,0.7348373958293815,ns,ns,0.308
10029,Sant Marti,0.0006693029005402231,-0.3388111184794192,0.7347520248406023,ns,ns,0.64
02037,Eixample,6.175116046650868e-05,-0.3413509499590149,0.7328393961245669,ns,ns,0.727
04013,Les Corts,0.00013090107748660825,-0.3418028206592905,0.7324992867236957,ns,ns,0.676
04014,Les Corts,0.0,-0.3421170161581988,0.732262832235385,ns,ns,0.706
04012,Les Corts,0.0003073329645337759,-0.3427312289567707,0.7318006667875339,ns,ns,0.682
02035,Eixample,0.0001724479412106187,-0.3440305516680396,0.7308233099887254,ns,ns,0.709
07091,Horta-Guinardo,0.0007388796688999529,-0.34580954035452904,0.729485854845711,ns,ns,0.645
05011,Sarria-Sant Gervasi,0.0006163733344260728,-0.3468551022647171,0.728700178210764,ns,ns,0.635
10011,Sant Marti,0.00014086094207798062,-0.34877822772510836,0.7272558099991397,ns,ns,0.692
04026,Les Corts,0.0,-0.34879361804744535,0.7272442549588609,ns,ns,0.696
06010,Gracia,0.0006914991702009957,-0.3500779473285933,0.7262802004815265,ns,ns,0.604
03106,Sants-Montjuic,0.0005697042546264993,-0.35334374788356493,0.7238307519173139,ns,ns,0.647
08082,Nou Barris,0.001524428417599479,-0.353959532274509,0.7233692109685008,ns,ns,0.52
01051,Ciutat Vella,0.0,-0.3550117978686588,0.7225807527700367,ns,ns,0.686
01050,Ciutat Vella,0.0,-0.3550117978686588,0.7225807527700367,ns,ns,0.718
05033,Sarria-Sant Gervasi,0.007202689504920742,-0.3585851803244889,0.7199054348658331,ns,ns,0.225
08017,Nou Barris,0.0004960012566503439,-0.3607641640003313,0.7182757541682592,ns,ns,0.617
05014,Sarria-Sant Gervasi,0.00011610356437942644,-0.3631769174063825,0.7164727293882318,ns,ns,0.672
02131,Eixample,6.00437551079877e-05,-0.3636216645780048,0.7161405466994788,ns,ns,0.691
08003,Nou Barris,7.541040333467649e-05,-0.3640224503101123,0.7158412449238609,ns,ns,0.67
08042,Nou Barris,0.00041048870494441825,-0.36796387544228154,0.7129001705269469,ns,ns,0.639
10030,Sant Marti,0.0004345346637435887,-0.3727443972859733,0.7093386896129461,ns,ns,0.639
08001,Nou Barris,0.0002164136291925339,-0.37557800482484593,0.7072306451856598,ns,ns,0.669
05040,Sarria-Sant Gervasi,0.0006155196317468123,-0.37588995712347706,0.7069987069944985,ns,ns,0.598
02038,Eixample,0.0017893608157299838,-0.3763478684752577,0.706658296736326,ns,ns,0.554
07058,Horta-Guinardo,0.0001787084275251956,-0.37693072368880426,0.7062250883544094,ns,ns,0.668
08026,Nou Barris,0.0011096711992587584,-0.37966457553143745,0.7041944192013361,ns,ns,0.547
05054,Sarria-Sant Gervasi,0.00035713228749063776,-0.38040775625073014,0.7036427579800513,ns,ns,0.627
06072,Gracia,0.00039782544853538774,-0.384762981404991,0.7004130281182261,ns,ns,0.603
05060,Sarria-Sant Gervasi,0.0,-0.38504548153272455,0.700203719037735,ns,ns,0.656
03018,Sants-Montjuic,0.0,-0.3850941782228974,0.7001676411436879,ns,ns,0.693
06057,Gracia,0.0005513496470223989,-0.38661367336033475,0.6990422337782622,ns,ns,0.585
08053,Nou Barris,0.0,-0.38910567751196656,0.6971979737459979,ns,ns,0.65
08052,Nou Barris,4.837648515809435e-05,-0.3929638592257906,0.6943461746957658,ns,ns,0.631
08015,Nou Barris,0.0025329358493658694,-0.3932863009252169,0.6941080350324242,ns,ns,0.334
09087,Sant Andreu,0.0,-0.39483179734660456,0.6929670265976806,ns,ns,0.645
09092,Sant Andreu,0.0009698062436399151,-0.3977714431243202,0.6907986691441794,ns,ns,0.516
10039,Sant Marti,0.0006442609552819154,-0.39981059496356736,0.6892960265019021,ns,ns,0.575
05052,Sarria-Sant Gervasi,0.0003796131247111639,-0.40090226210983093,0.6884920843876006,ns,ns,0.579
10012,Sant Marti,0.0010069423101877462,-0.405263471278388,0.6852838542180271,ns,ns,0.537
07095,Horta-Guinardo,0.0,-0.40708717387946103,0.6839439633538471,ns,ns,0.64
09059,Sant Andreu,0.0,-0.4075920490827245,0.6835732025446872,ns,ns,0.608
02130,Eixample,0.00022267411550711078,-0.4104183856287942,0.6814990615227372,ns,ns,0.609
03003,Sants-Montjuic,0.0013475696792126812,-0.41100533258610145,0.6810686245220796,ns,ns,0.479
05094,Sarria-Sant Gervasi,0.0005890548486897371,-0.41109232122735223,0.6810048403146132,ns,ns,0.569
08041,Nou Barris,0.0022606046946817737,-0.41154317232031506,0.6806742914132591,ns,ns,0.36
09004,Sant Andreu,0.0003073329645337759,-0.4129100030158339,0.6796725520003306,ns,ns,0.569
05019,Sarria-Sant Gervasi,0.0009053516913557482,-0.4132727643377689,0.6794067819400651,ns,ns,0.533
06060,Gracia,0.0,-0.41726295365977106,0.6764860826225756,ns,ns,0.626
04011,Les Corts,0.0019401816223993372,-0.42505056953459636,0.6707998107680702,ns,ns,0.425
02047,Eixample,0.000976635865073999,-0.4262098233101361,0.6699549601320733,ns,ns,0.507
08013,Nou Barris,0.0,-0.4265089146454077,0.6697370535421379,ns,ns,0.584
07121,Horta-Guinardo,0.0,-0.4274524310066965,0.6690498255693753,ns,ns,0.608
03048,Sants-Montjuic,0.00034631872022000486,-0.42810125204645694,0.6685774052715012,ns,ns,0.575
09091,Sant Andreu,0.0012475441819593273,-0.4292238154327092,0.6677603531349723,ns,ns,0.456
07112,Horta-Guinardo,0.00024928118234406266,-0.435286272577993,0.6633546477560954,ns,ns,0.596
07106,Horta-Guinardo,0.0008144323560145061,-0.43541922248756787,0.6632581601006893,ns,ns,0.504
02126,Eixample,0.0016231733608339423,-0.4371272533678917,0.6620190635140999,ns,ns,0.435
09050,Sant Andreu,0.001859933570548851,-0.44323802628920383,0.6575935767263394,ns,ns,0.324
08011,Nou Barris,0.00025611080377814657,-0.4437984609422272,0.6571883012317472,ns,ns,0.556
04003,Les Corts,0.00026806264128779344,-0.4443732717737833,0.6567727343758558,ns,ns,0.538
10028,Sant Marti,0.0022431037897569337,-0.4446195304515966,0.6565947309779783,ns,ns,0.392
02036,Eixample,0.0009582812574698983,-0.44631049614459006,0.6553729754344411,ns,ns,0.476
